number,value,datetime_start,datetime_complete,duration,params_gat_heads,params_gat_hidden_0,params_gat_hidden_1,params_gat_hidden_2,params_gat_layers,params_gat_out,params_kan_arity_0_0,params_kan_arity_0_1,params_kan_arity_0_2,params_kan_arity_0_3,params_kan_arity_0_4,params_kan_arity_0_5,params_kan_arity_0_6,params_kan_arity_0_7,params_kan_arity_0_8,params_kan_arity_0_9,params_kan_arity_1_0,params_kan_arity_1_1,params_kan_arity_1_2,params_kan_arity_1_3,params_kan_arity_1_4,params_kan_arity_1_5,params_kan_arity_1_6,params_kan_arity_1_7,params_kan_arity_1_8,params_kan_arity_1_9,params_kan_arity_2_0,params_kan_arity_2_1,params_kan_arity_2_2,params_kan_arity_2_3,params_kan_arity_2_4,params_kan_arity_2_5,params_kan_arity_2_6,params_kan_arity_2_7,params_kan_arity_2_8,params_kan_arity_2_9,params_kan_arity_3_0,params_kan_arity_3_1,params_kan_arity_3_2,params_kan_arity_3_3,params_kan_arity_3_4,params_kan_arity_3_5,params_kan_arity_3_6,params_kan_arity_3_7,params_kan_arity_3_8,params_kan_arity_3_9,params_kan_grid,params_kan_k,params_kan_layer_type_0,params_kan_layer_type_1,params_kan_layer_type_2,params_kan_layer_type_3,params_kan_mult_nodes_0,params_kan_mult_nodes_1,params_kan_mult_nodes_2,params_kan_mult_nodes_3,params_kan_n_layers,params_kan_neurons_0,params_kan_neurons_1,params_kan_neurons_2,params_kan_neurons_3,params_lr,state
28,1875.296265,17:48.0,18:23.1,0 days 00:00:35.133660,2,96,16,96,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,normal,normal,normal,,,,,,3,1,4,8,,0.00637022,COMPLETE
29,359.1979065,18:23.1,18:57.0,0 days 00:00:33.847797,2,16,8,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,normal,,,,,,,,1,9,,,,0.00658124,COMPLETE
30,,18:57.0,19:37.8,0 days 00:00:40.861811,1,128,,,1,2,,,,,,,,,,,9,7,7,10,4,6,7,8,7,,,,,,,,,,,,10,7,5,4,2,,,,,,3,3,normal,mixed,normal,mixed,,9,,5,4,7,5,10,2,0.000473797,FAIL
31,,19:37.8,20:16.0,0 days 00:00:38.137468,4,16,128,,2,2,8,2,10,9,5,3,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,mixed,,,,8,,,,1,8,,,,0.004845005,FAIL
32,4449.696777,20:16.0,20:52.3,0 days 00:00:36.291835,4,96,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,normal,normal,,,,,,,2,5,1,,,0.000318281,COMPLETE
33,,20:52.3,21:28.9,0 days 00:00:36.662482,2,8,,,1,4,8,3,4,7,2,3,4,2,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,mixed,,,,10,,,,1,10,,,,0.000590947,FAIL
34,2501096,21:28.9,22:02.2,0 days 00:00:33.232278,4,64,,,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,mixed,,,,1,,,,1,10,,,,0.000215577,COMPLETE
35,,22:02.2,22:46.4,0 days 00:00:44.245694,3,16,64,16,3,4,5,8,4,7,10,10,4,,,,5,3,7,2,9,8,7,3,8,,,,,,,,,,,,4,7,8,,,,,,,,8,6,mixed,mixed,normal,mixed,7,9,,3,4,10,7,8,6,0.003349457,FAIL
36,572.5258789,22:46.4,23:20.3,0 days 00:00:33.844179,3,96,,,1,4,6,9,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,mixed,,,,5,,,,1,7,,,,0.001261305,COMPLETE
37,801.3681641,23:20.3,23:54.3,0 days 00:00:34.008614,1,16,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,normal,,,,,,,,1,5,,,,0.001695454,COMPLETE
