number,value,datetime_start,datetime_complete,duration,params_gat_heads,params_gat_hidden_0,params_gat_hidden_1,params_gat_hidden_2,params_gat_layers,params_gat_out,params_kan_arity_0_0,params_kan_arity_0_1,params_kan_arity_0_2,params_kan_arity_0_3,params_kan_arity_0_4,params_kan_arity_0_5,params_kan_arity_0_6,params_kan_arity_0_7,params_kan_arity_0_8,params_kan_arity_0_9,params_kan_arity_1_0,params_kan_arity_1_1,params_kan_arity_1_2,params_kan_arity_1_3,params_kan_arity_1_4,params_kan_arity_1_5,params_kan_arity_1_6,params_kan_arity_1_7,params_kan_arity_1_8,params_kan_arity_1_9,params_kan_arity_2_0,params_kan_arity_2_1,params_kan_arity_2_2,params_kan_arity_2_3,params_kan_arity_2_4,params_kan_arity_2_5,params_kan_arity_2_6,params_kan_arity_2_7,params_kan_arity_2_8,params_kan_arity_2_9,params_kan_arity_3_0,params_kan_arity_3_1,params_kan_arity_3_2,params_kan_arity_3_3,params_kan_arity_3_4,params_kan_arity_3_5,params_kan_arity_3_6,params_kan_arity_3_7,params_kan_arity_3_8,params_kan_arity_3_9,params_kan_grid,params_kan_k,params_kan_layer_type_0,params_kan_layer_type_1,params_kan_layer_type_2,params_kan_layer_type_3,params_kan_mult_nodes_0,params_kan_mult_nodes_1,params_kan_mult_nodes_2,params_kan_mult_nodes_3,params_kan_n_layers,params_kan_neurons_0,params_kan_neurons_1,params_kan_neurons_2,params_kan_neurons_3,params_lr,state
1620,,02:04.4,08:18.2,0 days 00:06:13.823947,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,4,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,4,0.00125469,FAIL
1621,,08:18.3,14:40.6,0 days 00:06:22.317119,2,96,8,16,3,5,10,5,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.001250531,FAIL
1622,,14:40.6,20:45.9,0 days 00:06:05.347584,2,96,8,16,3,5,10,4,9,6,2,5,3,10,,,3,7,10,6,10,10,10,10,5,4,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004796544,FAIL
1623,,20:45.9,27:21.6,0 days 00:06:35.705164,2,96,8,16,3,5,10,4,10,6,2,5,3,10,,,3,7,10,6,10,10,10,10,5,,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,9,7,,4,9,8,9,10,0.004689026,FAIL
1624,,27:21.6,33:51.0,0 days 00:06:29.401588,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,4,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004574664,FAIL
1625,,33:51.0,40:43.0,0 days 00:06:51.932581,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,4,0.0012704,FAIL
1626,,40:43.0,47:30.4,0 days 00:06:47.451311,2,96,8,16,3,5,10,4,9,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,6,9,10,0.004715197,FAIL
1627,,47:30.4,53:56.4,0 days 00:06:25.969154,2,96,8,16,3,5,10,5,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,4,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.001218235,FAIL
1628,,53:56.4,00:33.5,0 days 00:06:37.098879,2,96,8,16,3,5,10,4,10,6,2,5,3,10,,,3,7,10,6,10,9,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004537883,FAIL
1629,,00:33.5,07:03.2,0 days 00:06:29.677971,2,96,8,16,3,5,10,4,9,5,2,5,4,10,,,3,7,10,6,10,10,10,10,5,4,8,10,2,5,4,4,10,,,,,,,,,,,,,,8,4,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004692406,FAIL
1630,,07:03.2,13:17.4,0 days 00:06:14.191125,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,9,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.00483247,FAIL
1631,,13:17.4,20:10.3,0 days 00:06:52.923420,2,96,8,16,3,5,10,4,9,6,2,5,3,10,,,3,7,5,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.001225639,FAIL
1632,,20:10.3,26:17.1,0 days 00:06:06.718101,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,4,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004537138,FAIL
1633,,26:17.1,33:30.3,0 days 00:07:13.203327,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,5,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004625234,FAIL
1634,,33:30.3,40:08.1,0 days 00:06:37.838559,2,96,8,16,3,5,10,4,10,6,2,5,3,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004639193,FAIL
1635,,40:08.1,46:43.9,0 days 00:06:35.802596,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004533322,FAIL
1636,,46:43.9,52:54.1,0 days 00:06:10.163110,2,96,8,16,3,5,10,4,10,6,2,5,2,9,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004474211,FAIL
1637,,52:54.1,59:23.5,0 days 00:06:29.401998,2,96,8,16,3,5,10,4,10,6,2,5,2,9,,,3,5,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004566399,FAIL
1638,,59:23.5,05:49.8,0 days 00:06:26.284380,2,96,8,16,3,5,10,4,10,6,2,10,3,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,4,0.00297612,FAIL
1639,,05:49.8,12:39.9,0 days 00:06:50.084107,2,96,8,16,3,5,10,5,10,6,2,5,4,9,10,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,9,10,7,,4,9,8,9,10,0.004478729,FAIL
1640,,12:39.9,19:12.3,0 days 00:06:32.451471,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004397698,FAIL
1641,,19:12.3,26:25.7,0 days 00:07:13.342721,2,96,8,16,3,5,10,4,9,6,2,5,2,10,,,3,7,10,6,10,9,10,10,5,5,8,10,2,5,4,4,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004587595,FAIL
1642,,26:25.7,32:57.2,0 days 00:06:31.479040,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,9,10,10,5,5,7,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.001232265,FAIL
1643,,32:57.2,39:58.1,0 days 00:07:00.965069,2,96,8,16,3,5,10,4,10,6,2,5,3,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004490259,FAIL
1644,,39:58.1,46:35.8,0 days 00:06:37.638342,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004584733,FAIL
1645,,46:35.8,53:10.8,0 days 00:06:34.983121,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,4,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.002866957,FAIL
1646,,53:10.8,59:25.8,0 days 00:06:14.990443,2,96,8,16,3,5,10,4,10,6,2,5,2,9,,,3,7,10,6,10,9,10,10,6,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.001261001,FAIL
1647,,59:25.8,05:49.9,0 days 00:06:24.171356,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,4,8,10,2,5,4,4,6,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004652596,FAIL
1648,,05:49.9,12:10.2,0 days 00:06:20.260437,2,96,8,16,3,5,9,4,10,6,2,5,4,9,,,3,7,10,6,10,10,10,10,5,5,8,10,4,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.001261176,FAIL
1649,,12:10.2,18:55.6,0 days 00:06:45.398009,2,96,8,16,3,5,10,4,10,6,2,10,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.001261385,FAIL
1650,,18:55.6,25:59.9,0 days 00:07:04.325201,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,4,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004642939,FAIL
1651,,26:00.0,32:31.5,0 days 00:06:31.563383,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,4,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.001213276,FAIL
1652,,32:31.5,39:33.2,0 days 00:07:01.685563,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004528466,FAIL
1653,,39:33.2,46:07.3,0 days 00:06:34.042381,2,96,8,16,3,5,10,4,10,6,2,10,2,10,,,3,7,10,6,10,9,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004422194,FAIL
1654,,46:07.3,52:55.4,0 days 00:06:48.117785,2,96,8,16,3,5,10,4,9,6,2,5,2,10,,,3,7,10,6,10,9,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004758582,FAIL
1655,,52:55.4,59:49.1,0 days 00:06:53.681216,2,96,8,16,3,5,10,4,10,5,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,8,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.00456254,FAIL
1656,,59:49.1,07:03.3,0 days 00:07:14.216259,2,96,8,16,3,5,10,4,10,6,2,5,2,10,10,,3,7,10,6,10,10,10,10,5,5,7,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,9,10,7,,4,9,8,9,10,0.004445863,FAIL
1657,,07:03.3,13:36.2,0 days 00:06:32.869933,2,96,8,16,3,5,9,4,9,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,7,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.00483497,FAIL
1658,,13:36.2,20:31.8,0 days 00:06:55.669148,2,96,8,16,3,5,10,4,9,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004883933,FAIL
1659,,20:31.9,27:10.4,0 days 00:06:38.570030,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,4,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.002941222,FAIL
1660,,27:10.4,33:20.5,0 days 00:06:10.022545,2,96,8,16,3,5,10,4,10,6,2,10,2,10,,,3,7,5,6,10,10,10,10,5,5,8,10,2,5,4,4,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004404919,FAIL
1661,,33:20.5,39:29.0,0 days 00:06:08.502537,2,96,8,16,3,5,10,4,9,6,2,5,3,10,,,3,7,10,6,10,9,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,4,0.007381913,FAIL
1662,,39:29.0,45:57.0,0 days 00:06:27.993156,2,96,8,16,3,5,9,5,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,8,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004416418,FAIL
1663,,45:57.0,52:23.3,0 days 00:06:26.301388,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,4,0.001231066,FAIL
1664,,52:23.3,58:46.4,0 days 00:06:23.121131,2,96,8,16,3,5,10,4,10,6,2,5,4,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004474675,FAIL
1665,,58:46.4,05:02.1,0 days 00:06:15.664968,2,96,8,16,3,5,9,4,10,6,2,5,2,10,,,3,7,10,6,10,9,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004857329,FAIL
1666,,05:02.1,11:09.6,0 days 00:06:07.504149,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004401937,FAIL
1667,,11:09.6,17:38.9,0 days 00:06:29.326331,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004497811,FAIL
1668,,17:38.9,24:08.4,0 days 00:06:29.456212,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004752775,FAIL
1669,,24:08.4,31:15.0,0 days 00:07:06.579988,2,96,8,16,3,5,10,4,10,6,2,10,3,10,,,3,7,10,6,10,10,10,10,5,5,8,10,4,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,2,9,10,0.001212866,FAIL
1670,,31:15.0,37:56.8,0 days 00:06:41.847189,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004747765,FAIL
1671,,37:56.8,45:03.7,0 days 00:07:06.833675,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,9,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.002958814,FAIL
1672,,45:03.7,51:58.0,0 days 00:06:54.311894,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,,,,,,,,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,3,7,,4,9,2,9,10,0.001228845,FAIL
1673,,51:58.0,58:44.9,0 days 00:06:46.856630,2,96,8,16,3,5,10,4,9,6,2,5,2,10,,,3,7,10,6,10,9,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004518223,FAIL
1674,,58:44.9,05:16.4,0 days 00:06:31.510239,2,96,8,16,3,5,10,4,10,6,2,5,3,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.001260075,FAIL
1675,,05:16.4,11:52.2,0 days 00:06:35.769986,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,5,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004550533,FAIL
1676,,11:52.2,18:12.5,0 days 00:06:20.313905,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004470917,FAIL
1677,,18:12.5,24:26.3,0 days 00:06:13.761822,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004478881,FAIL
1678,,24:26.3,30:30.1,0 days 00:06:03.879325,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.001271251,FAIL
1679,,30:30.1,36:05.8,0 days 00:05:35.615791,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,9,6,5,8,10,2,5,4,4,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,2,9,10,0.004527217,FAIL
1680,,36:05.8,42:40.6,0 days 00:06:34.851325,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,9,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004405357,FAIL
1681,,42:40.6,49:34.6,0 days 00:06:54.028806,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,4,8,10,2,5,4,10,2,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004831974,FAIL
1682,,49:34.7,55:47.8,0 days 00:06:13.129139,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,9,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004562545,FAIL
1683,,55:47.8,02:33.7,0 days 00:06:45.873681,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004425279,FAIL
1684,,02:33.7,09:31.5,0 days 00:06:57.827525,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,4,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004876644,FAIL
1685,,09:31.5,15:19.7,0 days 00:05:48.177354,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004546967,FAIL
1686,,15:19.7,20:01.8,0 days 00:04:42.102179,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,4,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.001252671,FAIL
1687,,20:01.8,24:26.3,0 days 00:04:24.501190,2,96,8,16,3,5,10,4,10,6,2,5,3,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004567016,FAIL
1688,,24:26.3,28:46.2,0 days 00:04:19.868517,2,96,8,16,3,5,10,4,10,6,2,5,3,10,,,3,7,10,6,10,10,10,10,5,,8,10,2,5,4,4,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,9,7,,4,9,8,9,10,0.004653314,FAIL
1689,,28:46.2,33:06.6,0 days 00:04:20.450186,2,96,8,16,3,5,,,,,,,,,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,4,10,,,,,,,,,,,,,,8,3,normal,mixed,mixed,normal,,10,7,,4,9,8,9,4,0.001256999,FAIL
1690,,33:06.6,37:26.9,0 days 00:04:20.220120,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,6,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.001219348,FAIL
1691,,37:26.9,41:49.0,0 days 00:04:22.166865,2,96,8,16,3,5,9,5,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,4,0.004466958,FAIL
1692,,41:49.0,46:14.0,0 days 00:04:25.007850,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004448142,FAIL
1693,,46:14.1,50:39.3,0 days 00:04:25.292149,2,96,8,16,3,5,10,4,9,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004548361,FAIL
1694,,50:39.3,55:01.9,0 days 00:04:22.565677,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004433438,FAIL
1695,,55:01.9,59:31.7,0 days 00:04:29.738612,2,96,8,16,3,5,10,4,10,6,2,5,3,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004874779,FAIL
1696,,59:31.7,03:53.4,0 days 00:04:21.775063,2,96,8,16,3,5,10,4,10,6,2,5,3,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,4,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004418562,FAIL
1697,,03:53.4,08:22.2,0 days 00:04:28.794487,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,4,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,8,10,0.004687434,FAIL
1698,,08:22.2,12:49.0,0 days 00:04:26.714004,2,96,8,16,3,5,10,5,10,6,2,5,2,10,,,3,7,10,6,10,9,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.007262944,FAIL
1699,,12:49.0,17:17.2,0 days 00:04:28.270735,2,96,8,16,3,5,10,4,9,6,2,5,3,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004867926,FAIL
1700,,17:17.2,21:38.5,0 days 00:04:21.302932,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004656353,FAIL
1701,,21:38.5,25:59.5,0 days 00:04:20.981349,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,9,10,10,5,5,8,10,2,5,4,4,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004462326,FAIL
1702,,25:59.5,30:25.2,0 days 00:04:25.689360,2,96,8,16,3,5,10,4,8,6,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.002929916,FAIL
1703,,30:25.2,34:49.9,0 days 00:04:24.680053,2,96,8,16,3,5,10,4,10,5,2,5,2,10,,,3,7,10,6,10,10,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.002879305,FAIL
1704,,34:49.9,39:20.6,0 days 00:04:30.738866,2,96,8,16,3,5,10,4,10,6,2,5,2,10,,,3,7,10,6,10,9,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004601119,FAIL
1705,,39:20.6,43:45.5,0 days 00:04:24.846239,2,96,8,16,3,5,10,4,10,6,7,10,2,10,,,3,7,10,6,10,9,10,10,5,5,8,10,2,5,4,10,10,,,,,,,,,,,,,,8,3,mixed,mixed,mixed,normal,8,10,7,,4,9,8,9,10,0.004677211,FAIL
